algorithm,configuration,seed,lstm_units,mae,rmse,r2,epochs,final_train_loss,final_val_loss
LSTM,PURE_ML,48,4,0.3638576697700573,0.5975951748592764,0.598114054288757,50,0.33758455514907837,0.3183250427246094
LSTM,PURE_ML,49,4,0.38892031359512585,0.5961776560013377,0.600018371050862,50,0.34037667512893677,0.3042480945587158
LSTM,PURE_ML,50,4,0.40943605114134335,0.6012646437228716,0.5931634266079591,50,0.3373171091079712,0.3093671202659607
LSTM,PURE_ML,51,4,0.36678611929023447,0.5954536398017357,0.6009892807474124,50,0.33944016695022583,0.3109711706638336
LSTM,ONLY_MECH,42,4,0.3610872757343703,0.5993967497092393,0.5956872643523357,50,0.3456590175628662,0.3276470899581909
LSTM,ONLY_MECH,43,4,0.34672357314721824,0.5825225317765756,0.6181312574165888,50,0.34190282225608826,0.2920822501182556
LSTM,ONLY_MECH,44,4,0.41365468444383763,0.6202552680307133,0.5670581411034452,50,0.351311594247818,0.3257390856742859
LSTM,ONLY_MECH,45,4,0.3956117492734707,0.6048087914466804,0.5883531038001988,50,0.3395672142505646,0.326640248298645
LSTM,ONLY_MECH,46,4,0.3428944728176946,0.5844894137399983,0.6155481512648857,50,0.3415393531322479,0.2967536449432373
LSTM,ONLY_MECH,47,4,0.34568022526562314,0.5817885794247146,0.6190929262977913,50,0.34305649995803833,0.2931593060493469
LSTM,ONLY_MECH,48,4,0.3695716645866795,0.6010050471216246,0.5935146549513352,50,0.34383729100227356,0.3282802104949951
LSTM,ONLY_MECH,49,4,0.35953682027716477,0.5847992697393739,0.6151404234776714,50,0.34045958518981934,0.2927113175392151
LSTM,ONLY_MECH,50,4,0.3547732083617776,0.5844919768619748,0.6155447794360045,50,0.34957364201545715,0.2976100742816925
LSTM,ONLY_MECH,51,4,0.35046674290468216,0.5819080303511951,0.6189364970539353,50,0.343796044588089,0.2915794253349304
LSTM,FULL_HYBRID,42,8,0.3695529284166981,0.5829630315661624,0.6175535056819851,50,0.3260461091995239,0.2887153625488281
LSTM,FULL_HYBRID,43,8,0.3922829753170707,0.5906360460650817,0.6074196565893842,50,0.3231699466705322,0.3040657043457031
LSTM,FULL_HYBRID,44,8,0.35799197810993383,0.5854835257764811,0.6142392713495088,50,0.32335102558135986,0.29487529397010803
LSTM,FULL_HYBRID,45,8,0.366643949015536,0.5880825364726118,0.610806821006149,50,0.32849058508872986,0.30818623304367065
LSTM,FULL_HYBRID,46,8,0.3794269783855098,0.5893144266584447,0.6091745827182852,50,0.32709580659866333,0.3056095838546753
LSTM,FULL_HYBRID,47,8,0.35892736409565723,0.5876556980600877,0.6113715795267705,50,0.3196642994880676,0.3049614131450653
LSTM,FULL_HYBRID,48,8,0.39833289802418537,0.5950183558101659,0.6015724310877415,50,0.3263377249240875,0.314439982175827
LSTM,FULL_HYBRID,49,8,0.38102211282970866,0.5866767189844164,0.6126653377208713,50,0.32468265295028687,0.29948246479034424
LSTM,FULL_HYBRID,50,8,0.35271197065471543,0.5831326689953817,0.6173308957531655,50,0.3215142488479614,0.3020777702331543
LSTM,FULL_HYBRID,51,8,0.3613646297154253,0.587742326898855,0.6112569923276849,50,0.3220368027687073,0.3084760308265686
LSTM,NO_TEMPORAL,42,8,0.39987425594698867,0.6004217342263721,0.594303310822063,50,0.3276323974132538,0.31670400500297546
LSTM,NO_TEMPORAL,43,8,0.36311651239679354,0.5875714555692754,0.6114829940152966,50,0.32344114780426025,0.3031960129737854
LSTM,NO_TEMPORAL,44,8,0.5318034233885486,0.7008349981580677,0.4472608616229109,50,0.34459906816482544,0.4285220503807068
LSTM,NO_TEMPORAL,45,8,0.34709778661976404,0.5869350855088451,0.6123241060233979,50,0.32600030303001404,0.3019700348377228
LSTM,NO_TEMPORAL,46,8,0.36149299819935576,0.5841004211285113,0.6160597060024158,50,0.3294813930988312,0.2867667078971863
LSTM,NO_TEMPORAL,47,8,0.3429846460426034,0.582675276756556,0.6179309692645996,50,0.3288031220436096,0.3000963032245636
LSTM,NO_TEMPORAL,48,8,0.40099318752163826,0.5997674344833387,0.5951870316834719,50,0.3275083303451538,0.31204164028167725
LSTM,NO_TEMPORAL,49,8,0.4432858802502567,0.6254704018294974,0.5597471454911749,50,0.32928767800331116,0.33517393469810486
LSTM,NO_TEMPORAL,50,8,0.35933563757247794,0.5885752117432976,0.6101544426002432,50,0.32561004161834717,0.30958524346351624
LSTM,NO_TEMPORAL,51,8,0.5488167879342996,0.7178318952471843,0.4201253050799377,50,0.3377034664154053,0.45549070835113525
LSTM,NO_STATIC_MECH,42,8,0.357432585440368,0.5879651122003119,0.6109622283185252,50,0.3258481025695801,0.3027694821357727
LSTM,NO_STATIC_MECH,43,8,0.3999226452463929,0.595833014025442,0.6004806849696186,50,0.32579153776168823,0.3092227578163147
LSTM,NO_STATIC_MECH,44,8,0.4092853695949353,0.6005923890727178,0.5940726597938335,50,0.3261990249156952,0.31299158930778503
LSTM,NO_STATIC_MECH,45,8,0.44727098095489565,0.6209894777968273,0.5660325689163667,50,0.3269493579864502,0.3407290577888489
LSTM,NO_STATIC_MECH,46,8,0.35154453062717284,0.5805436525410391,0.6207213326242739,50,0.320727676153183,0.2989531457424164
LSTM,NO_STATIC_MECH,47,8,0.3628528747195516,0.5829802376053398,0.6175309296827616,50,0.32823172211647034,0.3023035526275635
LSTM,NO_STATIC_MECH,48,8,0.3728006955408831,0.5919064414323117,0.6057290431806889,50,0.32557275891304016,0.31692492961883545
LSTM,NO_STATIC_MECH,49,8,0.4036159617682481,0.599200277822408,0.5959522743551213,50,0.3270992636680603,0.31262508034706116
LSTM,NO_STATIC_MECH,50,8,0.36398279220493557,0.5896405491733778,0.6087419028817929,50,0.3204815983772278,0.312415212392807
LSTM,NO_STATIC_MECH,51,8,0.3634766277014735,0.5841804034506634,0.6159545510062474,50,0.3256795406341553,0.30329087376594543
LSTM,PURE_ML,42,8,0.3489816205738524,0.5871383079309862,0.6120555990780072,50,0.3303634524345398,0.3000059127807617
LSTM,PURE_ML,43,8,0.36363590128207135,0.5918477606316838,0.6058072142798646,50,0.3286385238170624,0.30520638823509216
LSTM,PURE_ML,44,8,0.35699722141534307,0.5881213119036759,0.6107554961329678,50,0.33335137367248535,0.30301257967948914
LSTM,PURE_ML,45,8,0.41252088565353223,0.6071907930753758,0.5851042274746876,50,0.33685553073883057,0.31866034865379333
LSTM,PURE_ML,46,8,0.4229269730615102,0.6183510690993311,0.5697123449190356,50,0.33604851365089417,0.3294272720813751
LSTM,PURE_ML,47,8,0.36720781087094156,0.5945055325835125,0.6022589136491261,50,0.3277168273925781,0.31261369585990906
LSTM,PURE_ML,48,8,0.3456691163697394,0.5832696991252292,0.617151028080059,50,0.3331485092639923,0.2911587357521057
LSTM,PURE_ML,49,8,0.511285776019859,0.688638852513861,0.4663313420638341,50,0.3398262858390808,0.4099101424217224
LSTM,PURE_ML,50,8,0.3866961052756652,0.5939376886215506,0.6030183582595254,50,0.332684189081192,0.3097909092903137
LSTM,PURE_ML,51,8,0.3691870127216779,0.5924744803056432,0.6049719346932263,50,0.3289949595928192,0.3060412108898163
LSTM,ONLY_MECH,42,8,0.39940227631158065,0.5987795090856517,0.5965195336345244,50,0.33259958028793335,0.30162525177001953
LSTM,ONLY_MECH,43,8,0.3638431360576878,0.5839856259696178,0.6162106052464831,50,0.3372786343097687,0.2930421829223633
LSTM,ONLY_MECH,44,8,0.33899274707900734,0.5805261453606912,0.6207442077341183,50,0.3326796889305115,0.28514978289604187
